week,discharge,Temperature,DOC
2014-02-25,0.01,21.60,1.51
2014-03-04,0.01,21.50,1.60
2014-03-11,0.01,21.70,2.68
2014-03-18,0.01,21.90,2.31
2014-03-25,0.01,21.90,1.56
2014-04-01,0.01,21.90,1.81
2014-04-08,0.01,22.20,1.06
2014-04-15,0.01,22.30,1.39
2014-04-22,0.01,22.40,1.86
2014-04-29,0.01,22.80,1.51
2014-05-06,0.01,23.20,1.21
2014-05-13,0.02,22.30,1.58
2014-05-20,0.06,22.70,3.00
2014-05-27,0.01,23.10,1.08
2014-06-03,0.01,23.50,1.00
2014-06-10,0.01,23.40,0.98
2014-06-17,0.01,23.50,1.04
2014-06-24,0.01,23.90,1.40
2014-07-01,0.02,24.20,1.30
2014-07-08,0.01,22.00,1.46
2014-07-15,0.01,22.00,1.02
2014-07-22,0.01,22.00,1.24
2014-07-29,0.01,22.50,1.65
2014-08-05,0.06,22.50,2.95
2014-08-12,0.01,23.00,1.70
2014-08-19,0.01,24.40,1.21
2014-08-26,0.02,24.30,1.49
2014-09-02,0.01,24.30,1.01
2014-09-09,0.02,23.00,1.37
2014-09-16,NA,NA,NA
2014-09-23,0.03,23.00,1.67
2014-09-30,0.01,22.00,0.92
2014-10-07,0.01,22.50,1.02
2014-10-14,0.02,22.00,2.09
2014-10-21,0.01,22.00,0.63
2014-10-28,0.01,22.50,0.67
2014-11-04,0.06,22.00,2.84
2014-11-11,0.05,21.00,1.02
2014-11-18,0.01,22.00,1.15
2014-11-25,0.03,21.50,1.90
2014-12-02,0.02,21.50,1.85
2014-12-09,0.01,20.00,0.68
2014-12-16,NA,20.00,5.48
2014-12-23,0.01,20.00,0.65
2014-12-30,0.01,20.00,0.79
2015-01-05,0.01,20.00,0.63
2015-01-13,0.01,20.50,0.99
2015-01-20,0.01,20.00,0.69
2015-01-27,0.01,20.00,0.77
2015-02-03,0.01,20.50,0.71
2015-02-10,0.01,20.00,1.22
2015-02-17,0.05,20.00,2.15
2015-02-24,0.02,20.00,1.66
2015-03-03,0.02,20.00,NA
2015-03-10,0.01,20.00,1.15
2015-03-17,0.01,20.00,0.34
2015-03-24,0.01,20.00,0.62
2015-03-31,0.01,20.00,0.91
2015-04-07,0.01,20.50,1.19
2015-04-14,0.02,20.50,2.18
2015-04-21,0.01,21.00,0.84
2015-04-28,0.01,22.00,0.83
2015-05-05,0.01,22.00,1.30
2015-05-12,0.01,22.00,1.78
2015-05-19,0.01,21.50,1.25
2015-05-26,0.01,21.50,1.14
2015-06-02,0.01,22.50,1.29
2015-06-09,0.01,22.00,1.28
2015-06-16,0.01,22.00,1.05
2015-06-23,0.01,22.00,1.93
2015-06-30,0.01,22.00,1.62
2015-07-07,0.01,22.00,1.11
2015-07-14,0.01,22.00,1.65
2015-07-21,0.01,22.00,1.49
2015-07-28,0.02,22.50,1.21
2015-08-04,0.02,23.00,1.78
2015-08-11,0.02,22.00,1.19
2015-08-18,0.01,22.00,1.21
2015-08-25,0.02,22.50,5.19
2015-09-01,0.01,23.00,2.06
2015-09-08,0.01,22.50,1.79
2015-09-15,0.01,23.00,1.33
2015-09-22,0.01,23.00,1.76
2015-09-29,0.01,22.50,1.53
2015-10-06,0.01,23.00,1.80
2015-10-13,0.01,23.00,2.36
2015-10-20,0.02,22.50,1.52
2015-10-27,0.01,22.00,1.54
2015-11-03,0.02,22.00,2.32
2015-11-10,0.01,22.00,1.89
2015-11-17,0.03,22.00,2.37
2015-11-24,0.01,22.00,0.99
2015-12-01,0.01,21.50,1.57
2015-12-08,0.02,21.00,1.68
2015-12-15,0.01,21.00,0.71
2015-12-22,0.01,21.00,1.22
2015-12-29,0.01,20.50,1.21
2016-01-05,0.01,20.00,0.97
2016-01-12,0.01,20.00,0.75
2016-01-19,0.01,21.00,0.85
2016-01-26,0.01,20.00,0.87
2016-02-02,0.01,20.00,0.84
2016-02-09,0.01,20.50,0.94
2016-02-16,0.01,20.00,1.69
2016-02-23,0.01,20.00,1.09
2016-03-01,0.01,20.00,0.85
2016-03-08,0.03,20.00,1.92
2016-03-15,0.05,20.00,1.34
2016-03-22,0.01,20.00,1.29
2016-03-29,0.01,20.00,1.07
2016-04-05,0.01,20.00,0.73
2016-04-12,0.01,20.50,1.58
2016-04-19,0.01,20.00,1.95
2016-04-26,0.02,20.00,1.24
2016-05-03,0.02,20.00,1.34
2016-05-10,0.01,21.50,1.37
2016-05-17,0.02,22.00,1.65
2016-05-24,0.01,23.00,0.81
2016-05-31,0.11,22.00,2.47
2016-06-07,0.01,22.00,0.73
2016-06-14,0.01,22.00,0.80
2016-06-21,0.01,22.00,1.83
2016-06-28,0.01,22.00,0.86
2016-07-05,0.11,22.00,2.69
2016-07-12,0.01,23.00,0.78
2016-07-19,0.01,22.50,1.62
2016-07-26,0.01,22.50,2.51
2016-08-02,0.01,22.00,1.07
2016-08-09,0.01,23.00,0.97
2016-08-16,0.02,22.00,0.87
2016-08-23,0.01,23.00,0.74
2016-08-30,0.01,22.50,1.36
2016-09-06,0.01,22.50,1.60
2016-09-13,0.01,22.00,1.32
2016-09-20,0.01,22.00,0.77
2016-09-27,0.01,22.00,1.15
2016-10-04,0.01,22.00,1.83
2016-10-11,0.01,22.00,0.80
2016-10-18,0.01,22.50,1.24
2016-10-25,0.01,22.00,1.41
2016-11-01,0.01,22.00,0.97
2016-11-08,0.01,21.00,0.95
2016-11-15,0.01,21.50,1.37
2016-11-22,0.02,21.50,1.22
2016-11-29,0.02,21.00,0.90
2016-12-06,0.03,20.50,1.77
2016-12-13,0.02,21.00,1.70
2016-12-20,0.22,20.00,3.44
2016-12-27,0.02,20.50,2.16
2017-01-03,0.02,20.00,1.35
2017-01-10,0.01,20.50,1.63
2017-01-17,0.18,20.00,3.20
2017-01-24,0.01,19.00,0.74
2017-01-31,0.01,20.00,NA
2017-02-07,0.01,20.00,2.40
2017-02-14,0.01,20.00,0.89
2017-02-21,0.01,20.00,1.04
2017-02-28,0.09,20.00,0.98
2017-03-07,0.62,19.00,0.68
2017-03-14,0.01,20.00,0.75
2017-03-21,0.01,20.00,1.23
2017-03-28,0.01,20.00,0.89
2017-04-04,0.01,20.00,1.05
2017-04-11,0.01,21.00,1.25
2017-04-18,0.09,20.00,1.32
2017-04-25,0.01,21.00,1.31
2017-05-02,0.07,20.00,1.35
2017-05-09,0.01,21.00,0.97
2017-05-16,0.01,21.50,1.00
2017-05-23,0.01,22.00,1.15
2017-05-30,0.11,21.00,3.62
2017-06-06,0.01,22.00,1.17
2017-06-13,0.01,22.50,0.97
2017-06-20,0.03,22.40,2.09
2017-06-27,0.01,22.60,1.68
2017-07-03,0.01,22.70,1.58
2017-07-11,0.02,22.70,1.04
2017-07-18,5.67,22.90,1.57
2017-07-25,0.01,23.20,1.32
2017-08-01,0.03,23.00,2.25
2017-08-08,0.02,22.90,1.40
2017-08-15,0.06,23.20,2.87
2017-08-22,0.03,23.20,0.81
2017-08-29,0.02,23.10,1.08
2017-09-05,0.01,23.10,0.91
2017-09-12,0.02,23.20,1.33
2017-09-18,0.01,23.60,0.74
2017-09-26,NA,NA,NA
2017-10-03,NA,23.70,1.23
2017-10-10,0.02,23.70,1.53
2017-10-17,0.32,23.30,NA
2017-10-24,0.02,23.00,1.14
2017-10-31,0.01,23.30,1.84
2017-11-07,0.06,22.90,2.37
2017-11-14,0.02,23.00,1.68
2017-11-21,0.01,22.80,1.05
2017-11-28,0.01,22.30,1.01
2017-12-05,0.03,22.50,3.26
2017-12-12,0.01,21.90,2.21
2017-12-19,0.23,22.20,1.24
2017-12-26,0.07,22.00,NA
