date,daily_discharge_max
1728,0.177
1729,0.16
1730,0.021
1731,0.011
1732,1.499
1733,2.793
1734,0.032
1736,0.009
1737,0.159
1738,0.02
1741,0.023
1742,0.026
1743,0.014
1744,0.014
1745,0.016
1746,0.023
1747,0.03
1748,0.013
1749,0.291
1750,0.013
1751,0.804
1752,3.939
1753,3.31
1754,2.48
1755,0.21
1760,0.038
1768,0.01
1769,0.135
1770,0.019
1771,0.009
1772,0.064
1773,0.009
1774,2.318
1775,0.313
1778,0.03
1779,0.066
1780,2.217
1781,0.107
1783,0.498
1784,0.022
1785,0.016
1786,0.12
1787,0.014
1789,0.02
1795,0.026
1797,0.161
1798,0.028
1799,1.578
1800,0.016
1801,0.021
1806,0.027
1807,0.028
1808,0.033
1811,0.034
1812,0.095
1820,0.132
1821,0.175
1822,0.186
1825,0.132
1826,0.028
1832,0.026
1833,0.029
1834,0.032
1835,0.029
1836,0.144
1837,0.21
1838,0.016
1839,0.021
1840,0.019
1841,0.025
1842,0.062
1843,2.454
1844,0.052
1845,0.038
1846,0.016
1847,2.029
1848,2.435
1849,0.281
1850,0.169
1851,0.226
1855,0.348
1856,0.014
1857,3.583
1858,0.057
1859,0.566
1861,0.339
1862,2.95
1863,1.195
1864,0.053
1867,0.661
1873,0.042
1874,0.03
1876,0.015
1877,0.013
1878,0.023
1879,0.012
1880,0.02
1881,0.01
1882,0.051
1883,0.094
1884,0.015
1885,0.021
1886,0.019
1887,0.009
1888,0.053
1889,0.011
1890,0.011
1892,0.314
1893,0.011
1895,0.009
1896,0.02
1897,0.009
1899,0.01
1900,0.01
1901,0.052
1906,0.146
1907,0.145
1908,0.143
1909,0.144
1910,0.144
1911,2.016
1913,1.957
1914,2.128
1915,1.906
1916,2.254
1917,1.999
1918,3.705
1919,3.79
1920,2.919
1921,2.67
1926,3.72
1927,2.945
1928,2.7
1929,2.823
1930,1.986
1931,2.339
1932,1.937
1934,2.224
1936,3.661
1937,2.992
1938,2.014
1939,1.933
1940,1.98
1941,1.925
1949,1.902
1955,1.805
1956,1.995
1957,2.062
1958,3.066
1959,2.581
1960,1.831
1961,2.077
1962,2.04
1969,0.101
1970,0.129
1972,0.138
1973,0.153
1974,0.156
1975,0.155
1976,0.174
1977,0.123
1978,0.146
1983,0.145
1984,0.125
1985,0.134
1986,0.133
1987,0.14
1988,0.14
1989,0.153
1997,0.13
2006,0.164
2007,0.156
2008,0.139
2009,0.136
2010,0.147
2011,0.149
2024,0.131
2033,0.25236509
2034,18.69110137
2035,18.46484251
2036,11.04065523
2037,1.392980298
2041,0.64014354
2045,0.571510678
2046,0.410684823
2048,0.285756193
2049,0.299012444
2050,0.447952578
2051,0.280236477
2052,16.67185675
2053,3.321580205
2054,0.578413716
2055,4.659231044
2056,12.55088926
2057,0.971438165
2058,0.410684823
2060,17.36960231
2063,0.982488243
2064,2.26554458
2065,0.364515072
2067,10.25847242
2074,16.80938137
2075,16.39979944
2076,4.296679493
2077,1.918696349
2078,17.65587694
2079,1.637201175
2081,17.65587694
2087,15.54261426
2088,16.06527254
2089,2.129453444
2090,2.324489951
2091,1.051162739
2092,18.91981725
2093,15.22366858
2094,5.315812151
2095,14.18224646
2096,15.60711029
2097,15.93316671
2101,9.56763713
2102,0.842323887
2104,0.538080133
2105,0.585390649
2106,0.470569551
2107,1.276437817
2108,9.994389479
2109,16.13168924
2111,15.54261426
2112,7.037828385
2113,0.944294004
2114,0.632590034
2116,5.168588244
2119,3.256679227
2120,15.47835487
2121,18.31535688
2122,28.55591549
2123,31.19892719
2124,34.31596759
2125,5.86084748
2126,2.587199519
2127,34.57687229
2128,14.18224646
2129,6.786931257
2130,11.18405022
2131,3.790513624
2132,2.207929535
2133,33.92788595
2134,34.05681148
2135,10.4379501
2136,10.89889418
2137,22.93299776
2138,3.997808614
2140,10.30308314
2141,49.73103529
2142,49.01283267
2143,9.95096722
2145,43.2700684
2146,7.069762165
2147,3.55786854
2148,3.240630885
2149,13.88822861
2152,2.561092142
2153,3.790513624
2154,3.114749675
2155,2.626803496
2156,1.048422118
2157,0.955069808
2158,1.594033444
2159,11.13606933
2160,0.754629397
2161,0.464822331
2162,0.439723268
2163,0.804354977
2164,5.2663293
2165,6.81785294
2166,11.18405022
2167,11.37781366
2168,1.201417906
2169,0.776883127
2170,0.525201636
2174,0.606771735
2175,0.371483663
2176,10.85200078
2177,1.269450131
2178,1.594033444
2179,0.617719905
2180,2.496843714
2181,0.58890704
2182,0.380958933
2183,3.592813783
2184,1.754331764
2185,5.441329113
2188,0.55123811
2189,0.456318275
2190,0.52202507
2191,0.70351192
2192,12.6042416
2193,11.42671755
2194,9.037070392
2195,3.940299214
2196,2.721312421
2197,4.977922539
2198,0.671164311
2200,3.84608029
2201,10.80528652
2221,0.426305563
2222,0.585390649
2223,9.076935499
2224,4.095314344
2225,0.264240601
2226,0.22698181
2229,2.16277765
2230,4.442815115
2231,0.467688106
2232,0.357662736
2233,0.331382316
2245,5.780069103
2246,0.431628401
2247,0.218064069
2248,5.543629086
2250,0.373832658
2251,4.908048668
2252,1.155740514
2253,0.58890704
2254,0.64777698
2255,0.711811883
2256,0.79510342
2257,0.71599436
2258,5.315812151
2259,10.71239303
2260,0.837492403
2261,0.497220084
2262,10.7587508
2263,0.785946418
2264,0.651623905
2265,1.181649353
2266,0.663286619
2267,3.645802863
2268,5.466745769
2269,1.221479404
2270,1.168631216
2271,1.290515674
2272,0.497220084
2273,0.912611012
2275,0.528395345
2276,1.051162739
2277,0.571510678
2278,2.074924757
2279,0.651623905
2280,1.201417906
2282,0.42104106
2283,0.671164311
2291,0.632590034
2292,0.400555274
2293,0.339945358
2294,0.512597423
2296,3.523225263
2297,2.230817607
2298,4.977922539
2299,1.585522142
2300,1.201417906
2301,3.387626428
2303,12.2871221
2304,6.911369516
2310,0.881874989
2316,2.253915993
2317,0.71599436
2318,8.235008755
2319,9.69393153
2320,0.564680849
2321,0.423666055
2331,0.955069808
2332,0.46197215
2336,1.918696349
2353,0.625115732
2354,0.467688106
2355,0.223973925
2356,0.215161371
2360,2.574116457
2361,7.840639799
2362,0.254032048
2363,0.210871602
2366,0.215161371
2373,0.48819147
2374,0.364515072
2375,11.32909559
2376,10.89889418
2377,0.306829978
2378,0.223973925
2389,2.140510523
2390,0.247422305
2391,0.210871602
2394,11.0882712
2395,9.651669995
2396,13.09354519
2397,9.56763713
2398,6.425459338
2400,0.724424797
2402,0.659378632
2403,0.497220084
2404,0.426305563
2405,0.445194417
2406,9.95096722
2414,0.388205506
2436,0.418430508
2437,0.450725892
2450,1.124064153
2451,1.155740514
2452,1.415853645
2453,4.593344805
2454,0.912611012
2456,0.912611012
2458,5.315812151
2466,14.78690438
2467,0.938946674
2468,0.538080133
2469,0.538080133
