"","date","Prieta_pool0","daily_discharge_max"
"319","2007-06-28",0.02734375,0.139
"320","2007-06-29",0.0114270833333333,0.016
"321","2007-06-30",0.01621875,0.02
"322","2007-07-01",0.01765625,0.021
"323","2007-07-02",0.0196145833333333,0.023
"324","2007-07-03",0.0208854166666667,0.026
"325","2007-07-04",0.0198854166666667,0.024
"326","2007-07-05",0.0197916666666667,0.024
"327","2007-07-06",0.0252291666666667,0.109
"328","2007-07-07",0.0173125,0.021
"329","2007-07-08",0.01665625,0.02
"330","2007-07-09",0.0214375,0.026
"331","2007-07-10",0.020875,0.024
"332","2007-07-11",0.01628125,0.02
"333","2007-07-12",0.0161354166666667,0.02
"334","2007-07-13",0.021375,0.026
"335","2007-07-14",0.0212916666666667,0.024
"336","2007-07-15",0.0146145833333333,0.022
"337","2007-07-16",0.0254270833333333,0.121
"338","2007-07-17",0.149885416666667,1.866
"339","2007-07-18",0.0128541666666667,0.034
"340","2007-07-19",0.0565520833333333,0.328
"341","2007-07-20",0.0114895833333333,0.025
"342","2007-07-21",0.00942708333333333,0.011
"343","2007-07-22",0.01984375,0.08
"344","2007-07-23",0.0145729166666667,0.039
"345","2007-07-24",0.00984375,0.011
"346","2007-07-25",0.01134375,0.014
"347","2007-07-26",0.011625,0.013
"348","2007-08-04",0.0103555555555556,0.011
"349","2007-08-05",0.00985416666666667,0.011
"350","2007-08-06",0.00944791666666667,0.011
"351","2007-08-07",0.00938541666666667,0.011
"352","2007-08-08",0.0115833333333333,0.031
"353","2007-08-09",0.00915625,0.01
"354","2007-08-10",0.0090625,0.01
"355","2007-08-11",0.00903125,0.01
"356","2007-08-12",0.00998958333333333,0.01
"357","2007-08-13",0.0100520833333333,0.011
"358","2007-08-14",0.0100520833333333,0.011
"359","2007-08-15",0.01040625,0.011
"360","2007-08-16",0.01025,0.011
"361","2007-08-17",0.01015625,0.011
"362","2007-08-18",0.01015625,0.011
"363","2007-08-19",0.009,0.009
"364","2007-08-20",0.00944791666666667,0.011
"365","2007-08-21",0.00907291666666667,0.01
"366","2007-08-22",0.00919791666666667,0.01
"367","2007-08-23",0.00991666666666667,0.011
"368","2007-08-24",0.0103229166666667,0.014
"369","2007-08-25",0.00909375,0.01
"370","2007-08-26",0.00929166666666667,0.01
"371","2007-08-27",0.00995833333333333,0.01
"372","2007-08-28",0.0099375,0.01
"373","2007-08-29",0.0099375,0.01
"374","2007-08-30",0.0102083333333333,0.011
"375","2007-08-31",0.00925,0.01
"376","2007-09-01",0.00975,0.019
"377","2007-09-02",0.00986458333333333,0.018
"378","2007-09-03",0.00926041666666667,0.01
"379","2007-09-04",0.00982291666666667,0.01
"380","2007-09-05",0.01021875,0.011
"381","2007-09-06",0.0106458333333333,0.011
"382","2007-09-07",0.0109583333333333,0.011
"383","2007-09-08",0.01046875,0.011
"384","2007-09-09",0.01078125,0.011
"385","2007-09-10",0.0109583333333333,0.011
"386","2007-09-11",0.0106666666666667,0.012
"387","2007-09-12",0.0112395833333333,0.012
"388","2007-09-13",0.0109791666666667,0.012
"389","2007-09-14",0.0104375,0.012
"390","2007-09-15",0.0114583333333333,0.032
"391","2007-09-16",0.009125,0.01
"392","2007-09-17",0.00963541666666667,0.01
